Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     51.61     0.00    13303     0.00     0.00  OpeningNode::next(char*)
  0.00     51.61     0.00     6079     0.00     0.00  ImDrawList::PrimReserve(int, int)
  0.00     51.61     0.00     4061     0.00     0.00  ImDrawList::AddRectFilled(ImVec2 const&, ImVec2 const&, unsigned int, float, int)
  0.00     51.61     0.00     3999     0.00     0.00  ImDrawList::AddDrawCmd()
  0.00     51.61     0.00     3968     0.00     0.00  ImDrawList::_OnChangedTextureID()
  0.00     51.61     0.00     3968     0.00     0.00  ImGui::GetColorU32(ImVec4 const&)
  0.00     51.61     0.00     3816     0.00     0.00  void std::vector<OpeningNode*, std::allocator<OpeningNode*> >::_M_realloc_insert<OpeningNode*>(__gnu_cxx::__normal_iterator<OpeningNode**, std::vector<OpeningNode*, std::allocator<OpeningNode*> > >, OpeningNode*&&)
  0.00     51.61     0.00     2046     0.00     0.00  ImGui::GetColorU32(int, float)
  0.00     51.61     0.00     2020     0.00     0.00  ImHashStr(char const*, unsigned long, unsigned int)
  0.00     51.61     0.00     2015     0.00     0.00  ImGui::ItemHoverable(ImRect const&, unsigned int, int)
  0.00     51.61     0.00     2015     0.00     0.00  ImGui::ButtonBehavior(ImRect const&, unsigned int, bool*, bool*, int)
  0.00     51.61     0.00     2015     0.00     0.00  ImGui::ItemAdd(ImRect const&, unsigned int, ImRect const*, int)
  0.00     51.61     0.00     1984     0.00     0.00  ImDrawList::AddImage(void*, ImVec2 const&, ImVec2 const&, ImVec2 const&, ImVec2 const&, unsigned int)
  0.00     51.61     0.00     1984     0.00     0.00  ImGuiWindow::GetID(char const*, char const*)
  0.00     51.61     0.00     1984     0.00     0.00  ImGui::RenderFrame(ImVec2, ImVec2, unsigned int, bool, float)
  0.00     51.61     0.00     1984     0.00     0.00  ImGui::RenderNavHighlight(ImRect const&, unsigned int, int)
  0.00     51.61     0.00     1984     0.00     0.00  ImGui::ItemSize(ImVec2 const&, float)
  0.00     51.61     0.00     1614     0.00     0.00  stbtt__fill_active_edges_new(float*, float*, int, stbtt__active_edge*, float)
  0.00     51.61     0.00     1188     0.00     0.00  FreeWrapper(void*, void*)
  0.00     51.61     0.00     1182     0.00     0.00  MallocWrapper(unsigned long, void*)
  0.00     51.61     0.00     1180     0.00     0.00  ImGui::MemAlloc(unsigned long)
  0.00     51.61     0.00     1179     0.00     0.00  ImGui::MemFree(void*)
  0.00     51.61     0.00      892     0.00     0.00  stbtt__GetGlyfOffset(stbtt_fontinfo const*, int)
  0.00     51.61     0.00      669     0.00     0.00  stbtt_GetGlyphBitmapBoxSubpixel.constprop.0
  0.00     51.61     0.00      424     0.00     0.00  stbi__get16be(stbi__context*)
  0.00     51.61     0.00      414     0.00     0.00  Game::Game(Game const&)
  0.00     51.61     0.00      335     0.00     0.00  ImGui::GetIO()
  0.00     51.61     0.00      272     0.00     0.00  ImGui::IsKeyPressed(ImGuiKey, unsigned int, int)
  0.00     51.61     0.00      250     0.00     0.00  std::__future_base::_State_baseV2::_M_complete_async()
  0.00     51.61     0.00      250     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.61     0.00      248     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     51.61     0.00      246     0.00     0.00  std::__future_base::_Result<void>::~_Result()
  0.00     51.61     0.00      223     0.00     0.00  stbtt__GetGlyphShapeTT(stbtt_fontinfo const*, int, stbtt_vertex**)
  0.00     51.61     0.00      223     0.00     0.00  ImFont::AddGlyph(ImFontConfig const*, unsigned short, float, float, float, float, float, float, float, float, float)
  0.00     51.61     0.00      214     0.00     0.00  stbtt__sort_edges_quicksort(stbtt__edge*, int)
  0.00     51.61     0.00      201     0.00     0.00  ImGui::GetCurrentContext()
  0.00     51.61     0.00      129     0.00     0.00  std::future<decltype ({parm#1}(0, {parm#2}...))> ctpl::thread_pool::push<void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*, int*, int*, Move*>(void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*&&, int*&&, int*&&, Move*&&)
  0.00     51.61     0.00      124     0.00     0.00  CalcWindowSizeAfterConstraint(ImGuiWindow*, ImVec2 const&)
  0.00     51.61     0.00      124     0.00     0.00  ImDrawList::PushClipRect(ImVec2 const&, ImVec2 const&, bool)
  0.00     51.61     0.00      124     0.00     0.00  ImDrawList::_OnChangedClipRect()
  0.00     51.61     0.00      112     0.00     0.00  std::_Sp_counted_ptr_inplace<std::atomic<bool>, std::allocator<std::atomic<bool> >, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.61     0.00      112     0.00     0.00  std::_Sp_counted_ptr_inplace<std::atomic<bool>, std::allocator<std::atomic<bool> >, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     51.61     0.00       93     0.00     0.00  SetCurrentWindow(ImGuiWindow*)
  0.00     51.61     0.00       90     0.00     0.56  thread_func_minimax(int, Game&, Move, std::mutex*, int*, int*, Move*)
  0.00     51.61     0.00       83     0.00     0.61  std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> >::_M_invoke(std::_Any_data const&)
  0.00     51.61     0.00       77     0.00     0.00  std::_Function_base::_Base_manager<std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> >::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> > const&, std::_Manager_operation)
  0.00     51.61     0.00       77     0.00     0.00  std::_Function_handler<void (int), ctpl::thread_pool::push<void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*, int*, int*, Move*>(void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*&&, int*&&, int*&&, Move*&&)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
  0.00     51.61     0.00       77     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void (int)>, std::allocator<std::packaged_task<void (int)> >, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     51.61     0.00       73     0.00     0.00  std::_Function_base::_Base_manager<ctpl::thread_pool::push<void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*, int*, int*, Move*>(void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*&&, int*&&, int*&&, Move*&&)::{lambda(int)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<ctpl::thread_pool::push<void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*, int*, int*, Move*>(void (&)(int, Game&, Move, std::mutex*, int*, int*, Move*), Game&, Move&, std::mutex*&&, int*&&, int*&&, Move*&&)::{lambda(int)#1}> const&, std::_Manager_operation)
  0.00     51.61     0.00       73     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void (int)>, std::allocator<std::packaged_task<void (int)> >, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.61     0.00       62     0.00     0.00  AddWindowToSortBuffer(ImVector<ImGuiWindow*>*, ImGuiWindow*)
  0.00     51.61     0.00       62     0.00     0.00  CalcNextScrollFromScrollTargetAndClamp(ImGuiWindow*)
  0.00     51.61     0.00       62     0.00     0.00  ImDrawList::PopClipRect()
  0.00     51.61     0.00       62     0.00     0.00  ImDrawList::PushTextureID(void*)
  0.00     51.61     0.00       62     0.00     0.00  ImDrawList::_ResetForNewFrame()
  0.00     51.61     0.00       62     0.00     0.00  ImGuiStackSizes::CompareWithContextState(ImGuiContext*)
  0.00     51.61     0.00       62     0.00     0.00  ImGuiMenuColumns::Update(float, bool)
  0.00     51.61     0.00       62     0.00     0.00  ImGui::FindWindowByName(char const*)
  0.00     51.61     0.00       62     0.00     0.00  ImGui::UpdateWindowParentAndRootLinks(ImGuiWindow*, int, ImGuiWindow*)
  0.00     51.61     0.00       62     0.00     0.00  ImGui::Shortcut(int, unsigned int, int)
  0.00     51.61     0.00       62     0.00     0.00  ImGui::LogFinish()
  0.00     51.61     0.00       62     0.00     0.00  ImGui::RenderWindowDecorations(ImGuiWindow*, ImRect const&, bool, bool, int, unsigned int const*, float) [clone .constprop.0]
  0.00     51.61     0.00       62     0.00     0.00  ImGui::UpdateWindowManualResize(ImGuiWindow*, ImVec2 const&, int*, int, unsigned int*, ImRect const&)
  0.00     51.61     0.00       52     0.00     0.00  stbi__get8(stbi__context*)
  0.00     51.61     0.00       39     0.00     0.00  stbi__get32be(stbi__context*)
  0.00     51.61     0.00       39     0.00     0.00  stbi__stdio_read(void*, char*, int)
  0.00     51.61     0.00       36     0.00     0.00  glfw_error_callback(int, char const*)
  0.00     51.61     0.00       32     0.00     0.00  Piece::Piece(unsigned char, bool, unsigned char, unsigned char)
  0.00     51.61     0.00       32     0.00     0.00  Piece::Piece()
  0.00     51.61     0.00       31     0.00     0.00  ImGui_ImplOpenGL3_SetupRenderState(ImDrawData*, int, int, unsigned int)
  0.00     51.61     0.00       31     0.00     0.00  ImDrawList::AddText(ImFont const*, float, ImVec2 const&, unsigned int, char const*, char const*, float, ImVec4 const*)
  0.00     51.61     0.00       31     0.00     0.00  ImDrawListSharedData::SetCircleTessellationMaxError(float)
  0.00     51.61     0.00       31     0.00     0.00  ImGui::RenderArrow(ImDrawList*, ImVec2, unsigned int, int, float)
  0.00     51.61     0.00       31     0.00     0.00  ImGui::IsItemActive()
  0.00     51.61     0.00       31     0.00     0.00  ImGui::GetIDWithSeed(int, unsigned int)
  0.00     51.61     0.00       31     0.00     0.00  ImGui::SetWindowSize(ImGuiWindow*, ImVec2 const&, int)
  0.00     51.61     0.00       31     0.00     0.00  ImGui::CollapseButton(unsigned int, ImVec2 const&)
  0.00     51.61     0.00       31     0.00     0.00  ImGui::GetMouseCursor()
  0.00     51.61     0.00       31     0.00     0.00  ImGui::SetCurrentFont(ImFont*)
  0.00     51.61     0.00       31     0.00     0.00  ImGui::UpdateInputEvents(bool)
  0.00     51.61     0.00       31     0.00     0.00  ImGui::RenderTextClippedEx(ImDrawList*, ImVec2 const&, ImVec2 const&, char const*, char const*, ImVec2 const*, ImVec2 const&, ImRect const*)
  0.00     51.61     0.00       31     0.00     0.00  ImGui::UpdateMouseMovingWindowEndFrame()
  0.00     51.61     0.00       31     0.00     0.00  ImGui::UpdateMouseMovingWindowNewFrame()
  0.00     51.61     0.00       31     0.00     0.00  ImGui::UpdateHoveredWindowAndCaptureFlags()
  0.00     51.61     0.00       31     0.00     0.00  ImGui::End()
  0.00     51.61     0.00       31     0.00     0.00  ImGui::Begin(char const*, bool*, int)
  0.00     51.61     0.00       31     0.00     0.00  ImGui::EndFrame()
  0.00     51.61     0.00       31     0.00     0.00  ImGui::NavUpdate()
  0.00     51.61     0.00       31     0.00     0.00  ImFont::RenderText(ImDrawList*, float, ImVec2 const&, unsigned int, ImVec4 const&, char const*, char const*, float, bool) const
  0.00     51.61     0.00       31     0.00     0.00  ImFont::CalcTextSizeA(float, float, float, char const*, char const*, char const**) const
  0.00     51.61     0.00       30     0.00     0.00  AddWindowToDrawData(ImGuiWindow*, int)
  0.00     51.61     0.00       30     0.00     0.00  ImDrawList::_PopUnusedDrawCmd()
  0.00     51.61     0.00       30     0.00     0.00  ImGui::AddDrawListToDrawDataEx(ImDrawData*, ImVector<ImDrawList*>*, ImDrawList*)
  0.00     51.61     0.00       29     0.00     0.00  ImGui::IsMouseClicked(int, unsigned int, int)
  0.00     51.61     0.00       29     0.00     0.00  ImGui::IsMouseReleased(int, unsigned int)
  0.00     51.61     0.00       26     0.00     0.00  lookupMove(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     51.61     0.00       26     0.00     0.00  stbi__zbuild_huffman(stbi__zhuffman*, unsigned char const*, int)
  0.00     51.61     0.00       13     0.00     0.00  stbi__getn(stbi__context*, unsigned char*, int)
  0.00     51.61     0.00       13     0.00     0.00  stbi__load_main(stbi__context*, int*, int*, int*, int, stbi__result_info*, int)
  0.00     51.61     0.00       13     0.00     0.00  stbi__parse_zlib(stbi__zbuf*, int)
  0.00     51.61     0.00       13     0.00     0.00  stbi__parse_png_file(stbi__png*, int, int)
  0.00     51.61     0.00       13     0.00     0.00  stbi__compute_huffman_codes(stbi__zbuf*)
  0.00     51.61     0.00       13     0.00     0.00  stbi__load_and_postprocess_8bit(stbi__context*, int*, int*, int*, int)
  0.00     51.61     0.00        9     0.00     0.00  stbtt__find_table(unsigned char*, unsigned int, char const*)
  0.00     51.61     0.00        8     0.00     0.00  ImGuiTextBuffer::appendf(char const*, ...)
  0.00     51.61     0.00        8     0.00     0.00  ImGuiTextBuffer::appendfv(char const*, __va_list_tag*)
  0.00     51.61     0.00        7     0.00     0.00  call_minimax_fast(Game&)
  0.00     51.61     0.00        7     0.00     0.00  WindowSettingsHandler_ReadLine(ImGuiContext*, ImGuiSettingsHandler*, void*, char const*)
  0.00     51.61     0.00        7     0.00     0.00  std::vector<std::unique_ptr<std::thread, std::default_delete<std::thread> >, std::allocator<std::unique_ptr<std::thread, std::default_delete<std::thread> > > >::_M_default_append(unsigned long)
  0.00     51.61     0.00        4     0.00     0.00  ImDrawListSplitter::ClearFreeMemory()
  0.00     51.61     0.00        4     0.00     0.00  ImGui::FindWindowSettingsByID(unsigned int)
  0.00     51.61     0.00        2     0.00     0.00  CheckShader(unsigned int, char const*)
  0.00     51.61     0.00        2     0.00     0.00  WindowSettingsHandler_ReadOpen(ImGuiContext*, ImGuiSettingsHandler*, char const*)
  0.00     51.61     0.00        2     0.00     0.00  ImDrawList::_ClearFreeMemory()
  0.00     51.61     0.00        2     0.00     0.00  ImFontAtlas::AddCustomRectRegular(int, int)
  0.00     51.61     0.00        2     0.00     0.00  ImGuiWindow::ImGuiWindow(ImGuiContext*, char const*)
  0.00     51.61     0.00        2     0.00     0.00  ImGuiWindow::~ImGuiWindow()
  0.00     51.61     0.00        2     0.00     0.00  ImGuiStorage::SetVoidPtr(unsigned int, void*)
  0.00     51.61     0.00        2     0.00     0.00  ImGuiTextBuffer::append(char const*, char const*)
  0.00     51.61     0.00        2     0.00     0.00  ImGui::FocusWindow(ImGuiWindow*, int)
  0.00     51.61     0.00        2     0.00     0.00  ImGui::SetNavWindow(ImGuiWindow*)
  0.00     51.61     0.00        2     0.00     0.00  ImGui::NavInitWindow(ImGuiWindow*, bool)
  0.00     51.61     0.00        2     0.00     0.00  ImGui::FindBlockingModal(ImGuiWindow*)
  0.00     51.61     0.00        2     0.00     0.00  ImGui::AddSettingsHandler(ImGuiSettingsHandler const*)
  0.00     51.61     0.00        2     0.00     0.00  ImGui::ClosePopupsOverWindow(ImGuiWindow*, bool)
  0.00     51.61     0.00        2     0.00     0.00  ImGui::BringWindowToFocusFront(ImGuiWindow*)
  0.00     51.61     0.00        2     0.00     0.00  ImGui::CreateNewWindowSettings(char const*)
  0.00     51.61     0.00        2     0.00     0.00  ImGui::BringWindowToDisplayFront(ImGuiWindow*)
  0.00     51.61     0.00        2     0.00     0.00  ImGuiIO::AddMousePosEvent(float, float)
  0.00     51.61     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4GameC2Ev
  0.00     51.61     0.00        1     0.00     0.00  _GLOBAL__sub_I_maxdepth
  0.00     51.61     0.00        1     0.00     0.00  _GLOBAL__sub_I_stbi_failure_reason
  0.00     51.61     0.00        1     0.00     0.00  ImFormatString(char*, unsigned long, char const*, ...)
  0.00     51.61     0.00        1     0.00     0.00  buildOpeningTree()
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlasBuildInit(ImFontAtlas*)
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlasBuildFinish(ImFontAtlas*)
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlasBuildPackCustomRects(ImFontAtlas*, void*)
  0.00     51.61     0.00        1     0.00     0.00  ImGui_ImplGlfw_InstallCallbacks(GLFWwindow*)
  0.00     51.61     0.00        1     0.00     0.00  ImGui_ImplGlfw_RestoreCallbacks(GLFWwindow*)
  0.00     51.61     0.00        1     0.00     0.01  ImGui_ImplOpenGL3_CreateFontsTexture()
  0.00     51.61     0.00        1     0.00     0.00  ImGui_ImplOpenGL3_DestroyDeviceObjects()
  0.00     51.61     0.00        1     0.00     0.00  stbtt_InitFont_internal(stbtt_fontinfo*, unsigned char*, int)
  0.00     51.61     0.00        1     0.00     0.00  TableSettingsHandler_ApplyAll(ImGuiContext*, ImGuiSettingsHandler*)
  0.00     51.61     0.00        1     0.00     0.00  TableSettingsHandler_WriteAll(ImGuiContext*, ImGuiSettingsHandler*, ImGuiTextBuffer*)
  0.00     51.61     0.00        1     0.00     0.00  WindowSettingsHandler_ApplyAll(ImGuiContext*, ImGuiSettingsHandler*)
  0.00     51.61     0.00        1     0.00     0.00  WindowSettingsHandler_WriteAll(ImGuiContext*, ImGuiSettingsHandler*, ImGuiTextBuffer*)
  0.00     51.61     0.00        1     0.00     0.00  ImDrawData::Clear()
  0.00     51.61     0.00        1     0.00     0.00  ImDrawList::AddRect(ImVec2 const&, ImVec2 const&, unsigned int, float, int, float)
  0.00     51.61     0.00        1     0.00     0.00  ImDrawList::PathRect(ImVec2 const&, ImVec2 const&, float, int)
  0.00     51.61     0.00        1     0.00     0.00  ImGuiStyle::ImGuiStyle()
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlas::AddFontDefault(ImFontConfig const*)
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlas::ClearInputData()
  0.00     51.61     0.00        1     0.00     0.01  ImFontAtlas::GetTexDataAsRGBA32(unsigned char**, int*, int*, int*)
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlas::AddFontFromMemoryCompressedTTF(void const*, int, float, ImFontConfig const*, unsigned short const*)
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlas::AddFontFromMemoryCompressedBase85TTF(char const*, float, ImFontConfig const*, unsigned short const*)
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlas::Clear()
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlas::AddFont(ImFontConfig const*)
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlas::ImFontAtlas()
